keyword,title,authors,year,source title,DOI,link,abstract,author keywords,index keywords
Low resource Indic text simplification,Context-aware automatic text simplification of health materials in low-resource domains,"['T Sakakini', 'JY Lee', 'A Duri', 'RFL Azevedo']",2020,… on Health Text …,N/A,https://aclanthology.org/2020.louhi-1.13/,"To overcome this, we offer a knowledge-aware text simplification system to robustly operate  in a low-resource setting. Looking forward, we see great potential in adapting deep learning",N/A,N/A
Low resource Indic text simplification,To simplify or not? Facilitating English L2 users' comprehension and processing of open educational resources in English using text simplification,"['I Rets', 'J Rogaten']",2021,Journal of Computer Assisted Learning,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1111/jcal.12517,", the low LP group benefited the most from text simplification.  for learning with Open  Educational Resources (OER), inspired  intuitive simplification of OER reading materials has on",N/A,N/A
Low resource Indic text simplification,Automated text simplification: a survey,"['SS Al-Thanyyan', 'AM Azmi']",2021,ACM Computing Surveys (CSUR),N/A,https://dl.acm.org/doi/abs/10.1145/3442695,"Automatic simplification helps people with low literacy levels, such as children  resources  and corpora that are used for TS. Section 3 provides an overview of different text simplification",N/A,N/A
Low resource Indic text simplification,SiTSE: Sinhala Text Simplification Dataset and Evaluation,"['S Ranathunga', 'R Sirithunga', 'H Rathnayake']",2025,… and Low-Resource …,N/A,https://dl.acm.org/doi/abs/10.1145/3723160,Thus we present our work as a case-study on how low-resource languages can exploit  existing data and models to achieve acceptable performances on new tasks even without task-,N/A,N/A
Low resource Indic text simplification,Facilita: reading assistance for low-literacy readers,"['WM Watanabe', 'AC Junior', 'VR Uzêda']",2009,Proceedings of the 27th …,N/A,https://dl.acm.org/doi/abs/10.1145/1621995.1622002,"These resources are applied automatically to texts, making their language simpler and more   In view of that, we first focused on Text Simplification, since this technique makes reading",N/A,N/A
Low resource Indic text simplification,Efficient Data Augmentation via lexical matching for boosting performance on Statistical Machine Translation for Indic and a Low-resource language,"['S Saxena', 'A Gupta', 'P Daniel']",2024,Multimedia Tools and Applications,N/A,https://link.springer.com/article/10.1007/s11042-023-18086-8,", and human resources; hence, a better model requires more data. Text DA technique rectifies   This study includes resource-rich Indic (ie, Indo-Aryan and Dravidian language families) to",N/A,N/A
Low resource Indic text simplification,Printed ocr for extremely low-resource indic languages,"['A Sarkar', 'A Mondal', 'GS Lehal', 'CV Jawahar']",2024,International Conference on …,N/A,https://link.springer.com/chapter/10.1007/978-3-031-93691-3_9,Indic languages  in simplifying text recognition tasks by extracting text from images.  This study uses an established OCR model to digitize document images of extremely low-resource,N/A,N/A
Low resource Indic text simplification,TamilNLP: low resource language processing,"['H Singh', 'RR Shah']",2022,NA,N/A,https://repository.iiitd.edu.in/xmlui/handle/123456789/1090,There are many sources of raw Tamil text available online. Kaggle holds many datasets  of varying size and Indic NLP recently contributed a huge corpora consisting of 2 crore,N/A,N/A
Low resource Indic text simplification,There is plenty of room at the bottom: challenges & opportunities in low-resource non-standardized language varieties,['N Aepli'],2024,NA,N/A,https://www.zora.uzh.ch/id/eprint/262877/1/Aepli_Noemi_Dissertation.pdf,"speakers and limited resources, remains largely unexplored.  with non-standardized,  low-resource language varieties. The  of creating resources, especially for low-resource language",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Readability-based sentence ranking for evaluating text simplification,"['S Vajjala', 'D Meurers']",2016,arXiv preprint arXiv:1603.06009,N/A,https://arxiv.org/abs/1603.06009,"evaluating the readability of simplified sentences through pair- the ranking of simplified and  unsimplified sentences in terms  can be achieved with how little, feature selection gives us an",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Analysing zero-shot readability-controlled sentence simplification,"['A Barayan', 'J Camacho-Collados']",2024,arXiv preprint arXiv …,N/A,https://arxiv.org/abs/2409.20246,"target readability and preserving meaning. Results show that all tested models struggle to  simplify sentences (especially to the lowest  sentences, resulted in a slight enhancement of per",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Text Simplification for Enhanced Readability.,"['S Banerjee', 'N Kumar', 'CEV Madhavan']",2013,KDIR/KMIS,N/A,https://www.scitepress.org/PublishedPapers/2013/46261/46261.pdf,Table 2: Average readability scores comparison between source sentences and our system  generated output. Reference values for “upto secondary level” and upto “graduate level”,N/A,N/A
Low resource Indic sentence simplification readability enhancement,Readability assessment for text simplification,['R Shatery'],NA,NA,N/A,https://amslaurea.unibo.it/id/eprint/33081/,"is critical for enhancing the accessibility and readability of text  To achieve effective sentence  simplification, it is necessary  Indicative Mood (indic. mood): The indicative mood is a verb",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Assessing the readability of sentences: which corpora and features?,"[""F Dell'Orletta""]",2014,Proceedings of the ninth workshop on innovative use …,N/A,https://www.academia.edu/download/43359045/Assessing_the_readability_of_sentences_W20160304-26936-1ope587.pdf,"of text simplifi-cation for poor literacy readers. Given an in-put  corpus of simplification, in  which each sentence triplet is  may play a vital role in enhancing their learning curve. In this",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Multilingual low resource Indian language speech recognition and spell correction using Indic BERT,"['MCS Priya', 'DK Renuka', 'LA Kumar', 'SL Rose']",2022,Sādhanā,N/A,https://link.springer.com/article/10.1007/s12046-022-01973-5,"in any language to their corresponding readable text. Indo- models, which greatly simplify  the complexity of traditional  spell error by analysing the sentence more contextually. The",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Neural machine translation in low-resource setting: a case study in English-Marathi pair,"['A Banerjee', 'A Jain', 'S Mhaskar']",2021,… XVIII: Research Track,N/A,https://aclanthology.org/2021.mtsummit-research.4/,"-editing and measuring of Human Effort Reduction (HER), we  as compared to other English  to Indic language pairs. We use  model on sentences with low readability ie sentences with",N/A,N/A
Low resource Indic sentence simplification readability enhancement,Demystifying Financial Texts Using Natural Language Processing,['S Ghosh'],2024,Proceedings of the 33rd ACM International Conference …,N/A,https://dl.acm.org/doi/abs/10.1145/3627673.3680258,Indic investing) and present several resources to enhance comprehensibility of financial texts.  Inclusive investing deals with enhancing the readability  like to simplify and summarize the,N/A,N/A
Low resource Indic sentence simplification readability enhancement,HKG: A novel approach for low resource indic languages to automatic knowledge graph construction,"['P Vats', 'N Sharma', 'DK Sharma']",2023,… on Asian and Low-Resource Language …,N/A,https://dl.acm.org/doi/abs/10.1145/3611306,and machine-readable format using existing techniques[20].  constructing a framework that  can simplify text for a story like ” applied to Hindi sentences based on sentence indices or any,N/A,N/A
Low resource Indic text simplification dyslexia/ADHD,AI-Driven Text Simplification: Improving Web Accessibility for Cognitive Challenges,['J Chen'],2025,NA,N/A,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1970401,both the benefits and limitations of using AI for real-time text simplification on websites.   text simplification can improve accessibility for users who struggle with complex text. A tool that,N/A,N/A
Low resource Indic text simplification learning disabilities,Towards text simplification for poor readers with intellectual disability: When do connectives enhance text cohesion?,"['I Fajardo', 'G Tavares', 'V Ávila', 'A Ferrer']",2013,… in developmental disabilities,N/A,https://www.sciencedirect.com/science/article/pii/S0891422213000085,comprehension in poor readers. Two experiments tested this prediction in poor readers with  intellectual disability (ID) by: (a) comparing literal and inferential text comprehension of texts,N/A,N/A
Low resource Indic text simplification learning disabilities,EASIER corpus: A lexical simplification resource for people with cognitive impairments,"['R Alarcon', 'L Moreno', 'P Martínez']",2023,Plos one,N/A,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0283622,"individuals with intellectual and learning disabilities but also  alleviating reading difficulties  for people with low reading level or  to have resources to build, train or adapt text simplification",N/A,N/A
Low resource Indic text simplification learning disabilities,Evaluating the readability of text simplification output for readers with cognitive disabilities,"['V Yaneva', 'I Temnikova', 'R Mitkov']",2016,… on Language Resources and …,N/A,https://aclanthology.org/L16-1045/,"text simplification (TS) is to convert texts into a more understandable form for readers with  lower  readers are people with cognitive disabilities (intellectual disability, autism, hyperactivity,",N/A,N/A
Low resource Indic text simplification learning disabilities,Code-Switching ASR for Low-Resource Indic Languages: A Hindi-Marathi Case Study,"['H Palivela', 'M Narvekar', 'D Asirvatham', 'S Bhusan']",2025,IEEE …,N/A,https://ieeexplore.ieee.org/abstract/document/10835062/,"and transfer learning techniques, this work lowers resource  This approach simplifies  the system architecture and makes  in resourcelimited environments, typical in low-resource",N/A,N/A
